ThroughputStat:last
405737,2
403623,7
405702,9
407018,7
401543,8
404692,9
405459,1
404365,4
405933,25
402272,95
402526,25
404233,85
406692,65
409326,3
407498,95
406042,95
406235,2
404518,4
407464,3
406491,2
404307,65
404025,8
400525,2
406411,95
403307,95
407416,15
408442,65
408797,8
406297,2
407858,25
402979,05
405985,2
405275
406992,85
405618,4
408716,75
404032,6
403871,65
407931,7
406701,8
401758,2
400136,3
407301,8
406643
407464,55
405994,25
405168,7
405007,25
404070,65
405333,3
408116,8
407624,8
409376,6
406919,7
404926,45
405938,8
409688
402716,85
402351,4
406980,6
405221,25
400712,4
405650
399708,55
403634
410264,4
405418,1
398835,95
401925,75
405347,05
402021,3
406597,1
406812,3
407945,1
406516,5
403229,55
406088,7
402922,3
402704,05
404623
405011,9
406433,35
406757,2
402979,85
402881,05
406154,1
405437,55
405973,35
407682,95
405846,95
407090,75
403940,95
406116,8
402217,6
404903,6
403751,8
403937,45
404086,35
407639,95
406541,55
398760,05
404564,5
400882,2
405358,2
403549,15
402964,65
403081,6
405529,3
405700,7
409488,15
403873,4
405860,15
405517,2
407927,3
408345,35
406500,75
408045,05
404974,3
405074,95
401831,4
400380,2
405023
407593,05
406131,05
404709,6
407032,25
402903,2
408498,1
405100,4
405591,35
409009,4
406470,7
407035,3
404325,1
405846,4
406922,85
406605,55
409343
408086,45
403907
403771,35
406877,6
403918,55
406294,2
404386,4
404385,65
402954,6
408293,1
402657,55
405866,15
403841,15
409342,55
406037,7
409314,95
406041,15
406497,65
403777,5
408064,05
410140,9
401865,55
405585,3
405074,5
406371,8
406464,25
407184
404315,4
408334,3
406009,55
403547,6
407225,75
402360,15
405179,5
404213,05
405598,25
404878,2
404705,05
407535,2
405088,1
407246,95
405598,75
398110,35
400133,4
404169,2
409804,75
408893
402200,8
404766,1
402548,85
404395,2
405918,95
404313,15
406533,15
405448,55
406458,9
401193
403767,9
409137,95
405910,5
404597,75
405561,35
403587,4
407995,9
407083,1
405883,4
403900,85
408506,8
405295
407042,55
404865,15
407443,5
408900,65
404528,3
402517,8
406813,75
400447
401834,1
404573,2
402380,75
409000,55
404934,85
405849,65
404991,3
406754,95
406871,95
406255
400252
406335,3
406897,6
402854,85
405674,6
407866,45
404647,3
402851,05
410059,85
404285,6
404041,55
406984,2
406803,45
408508,25
404099,35
405979,6
399536,5
403184,2
403075,3
402269,9
403837,7
408693,05
400822,3
411809,85
406941,25
404500,15
406003,05
403770,3
406384,7
404603,1
404690,5
406822,5
409658,85
405574,4
402926,3
399432,5
404195,65
405868,3
403513,75
402566,15
403747,85
406275
406735,3
404975
401550,2
405401,05
406543,55
404269,8
400675,75
399187,6
402441,05
405482,25
410269,85
405152,5
405383,5
402332,55
402856,25
405679,45
406390,35
408643,8
406542,25
408394,6
404076,15
408863,85
410324,05
405583,75
403688,15
402104,05
409128,05
406056,8
408950,55
402162,25
406562,25
408110,95
401916,85
401693,3
407008,3
405301,3
400450,65
405036,9
405689,55
405659
408154,95
405573,5
405127,55
407195,85
403781,85
402063,9
402891,85
409716,95
407529,7
405550,85
400808,85
404909,1
405237,2
405352,35
410164,55
405376,15
409829,95
402572
406204,25
403903,15
406418,8
400638
410106,6
407976,55
408911,55
406010,3
403585,85
407655,85
407912,9
406637,1
405690,1
406036,3
407205,5
405042,15
403201,85
404783,3
403276,05
404516,35
405205,7
403944,8
406905,75
402252,25
395246,7
408858,85
403387,45
409268,05
406752,7
400403,25
407712,45
406702,65
407433,4
405889,95
408090,9
406330,1
406302,55
407802,5
404620,75
404141,7
402294,75
406574,9
406156,15
405059,8
404246,25
405040,95
407921,45
405189,55
405528,05
407950,75
401158
404926,4
404406,6
406707,15
404739,15
409002
399613,35
407428,6
403921,1
407891,7
404621,5
404329,5
404996,35
404950,55
406365,5
408310,2
400806,35
408636,2
402957,65
405995,85
407878,25
406505,35
405845,55
401671,65
406142,25
