exceedM:last
3,0186666666667
3,1546666666667
3,1573333333333
2,8906666666667
3,2746666666667
3,1866666666667
3,016
2,8106666666667
2,9546666666667
3,1573333333333
3,1093333333333
3,176
3,4773333333333
3,072
3,0346666666667
3,104
2,9173333333333
3,3813333333333
3,1253333333333
3,1306666666667
3,0746666666667
3,0506666666667
3,296
3,1173333333333
3,0853333333333
3,0693333333333
2,784
3,1146666666667
2,8613333333333
3,3173333333333
3,1146666666667
2,9786666666667
3,1173333333333
3,0053333333333
3,056
