avgAccumulatedQueueLength:mean
53,992549668874
51,115548003398
51,047210300429
53,369528619529
51,568892645816
54,037704918033
52,055319148936
52,675126903553
52,533446232007
51,627004219409
51,240677966102
51,625208681135
50,988907849829
51,179028132992
53,687659574468
52,669732441472
50,121827411168
52,127287853577
55,084507042254
53,151845637584
52,460759493671
52,263772954925
50,828085106383
54,932724252492
51,198003327787
52,104777870914
52,122792262405
50,252320675105
52,188127090301
52,269069572506
53,384940778342
50,822184589331
50,832209106239
52,26200505476
53,411120471778
