run,K,N,repetition,module,name,value
simulationTest-315-20260110-11:32:15-84478,1000,12,0,System.oracle,throughputStat:last,311189.76666667
simulationTest-316-20260110-11:32:15-84481,1000,12,1,System.oracle,throughputStat:last,311090.96666667
simulationTest-317-20260110-11:32:15-84484,1000,12,2,System.oracle,throughputStat:last,311411.96666667
simulationTest-318-20260110-11:32:16-84485,1000,12,3,System.oracle,throughputStat:last,311940.16666667
simulationTest-319-20260110-11:32:16-84486,1000,12,4,System.oracle,throughputStat:last,312046.63333333
simulationTest-320-20260110-11:32:17-84488,1000,12,5,System.oracle,throughputStat:last,310367.9
simulationTest-321-20260110-11:32:17-84489,1000,12,6,System.oracle,throughputStat:last,311973.63333333
simulationTest-322-20260110-11:32:18-84490,1000,12,7,System.oracle,throughputStat:last,311660.4
simulationTest-323-20260110-11:32:18-84491,1000,12,8,System.oracle,throughputStat:last,311842.03333333
simulationTest-324-20260110-11:32:18-84493,1000,12,9,System.oracle,throughputStat:last,312072.13333333
simulationTest-325-20260110-11:32:19-84494,1000,12,10,System.oracle,throughputStat:last,311590.1
simulationTest-326-20260110-11:32:19-84495,1000,12,11,System.oracle,throughputStat:last,312192.23333333
simulationTest-327-20260110-11:32:20-84496,1000,12,12,System.oracle,throughputStat:last,311017.7
simulationTest-328-20260110-11:32:20-84497,1000,12,13,System.oracle,throughputStat:last,310500.43333333
simulationTest-329-20260110-11:32:20-84498,1000,12,14,System.oracle,throughputStat:last,311025.8
simulationTest-330-20260110-11:32:21-84499,1000,12,15,System.oracle,throughputStat:last,310356
simulationTest-331-20260110-11:32:21-84500,1000,12,16,System.oracle,throughputStat:last,311269.5
simulationTest-332-20260110-11:32:22-84501,1000,12,17,System.oracle,throughputStat:last,311004.06666667
simulationTest-333-20260110-11:32:22-84502,1000,12,18,System.oracle,throughputStat:last,312215.5
simulationTest-334-20260110-11:32:22-84503,1000,12,19,System.oracle,throughputStat:last,312173.03333333
