run,K,N,repetition,module,name,value
simulationTest-770-20260110-11:35:46-84990,20,24,0,System.oracle,throughputStat:last,616121.13333333
simulationTest-771-20260110-11:35:47-84992,20,24,1,System.oracle,throughputStat:last,615826.2
simulationTest-772-20260110-11:35:47-84993,20,24,2,System.oracle,throughputStat:last,619249.36666667
simulationTest-773-20260110-11:35:48-84997,20,24,3,System.oracle,throughputStat:last,617192.66666667
simulationTest-774-20260110-11:35:49-85001,20,24,4,System.oracle,throughputStat:last,618046.63333333
simulationTest-775-20260110-11:35:50-85004,20,24,5,System.oracle,throughputStat:last,618201.66666667
simulationTest-776-20260110-11:35:50-85005,20,24,6,System.oracle,throughputStat:last,615729.2
simulationTest-777-20260110-11:35:51-85007,20,24,7,System.oracle,throughputStat:last,614674.7
simulationTest-778-20260110-11:35:52-85009,20,24,8,System.oracle,throughputStat:last,617841.76666667
simulationTest-779-20260110-11:35:52-85010,20,24,9,System.oracle,throughputStat:last,616502.86666667
simulationTest-780-20260110-11:35:53-85011,20,24,10,System.oracle,throughputStat:last,618770.33333333
simulationTest-781-20260110-11:35:54-85012,20,24,11,System.oracle,throughputStat:last,619424.6
simulationTest-782-20260110-11:35:54-85013,20,24,12,System.oracle,throughputStat:last,616751.66666667
simulationTest-783-20260110-11:35:55-85014,20,24,13,System.oracle,throughputStat:last,620335.16666667
simulationTest-784-20260110-11:35:56-85015,20,24,14,System.oracle,throughputStat:last,615888.9
simulationTest-785-20260110-11:35:56-85016,20,24,15,System.oracle,throughputStat:last,617648.2
simulationTest-786-20260110-11:35:57-85017,20,24,16,System.oracle,throughputStat:last,616896.96666667
simulationTest-787-20260110-11:35:57-85018,20,24,17,System.oracle,throughputStat:last,617121.66666667
simulationTest-788-20260110-11:35:58-85019,20,24,18,System.oracle,throughputStat:last,617794.66666667
simulationTest-789-20260110-11:35:59-85020,20,24,19,System.oracle,throughputStat:last,615540.03333333
