run,K,N,repetition,module,name,value
simulationTest-700-20260110-11:35:02-84916,2,24,0,System.oracle,throughputStat:last,39760.466666667
simulationTest-701-20260110-11:35:03-84917,2,24,1,System.oracle,throughputStat:last,39752.366666667
simulationTest-702-20260110-11:35:04-84918,2,24,2,System.oracle,throughputStat:last,39756.633333333
simulationTest-703-20260110-11:35:04-84919,2,24,3,System.oracle,throughputStat:last,39761.266666667
simulationTest-704-20260110-11:35:05-84920,2,24,4,System.oracle,throughputStat:last,39761.366666667
simulationTest-705-20260110-11:35:06-84921,2,24,5,System.oracle,throughputStat:last,39763.433333333
simulationTest-706-20260110-11:35:06-84922,2,24,6,System.oracle,throughputStat:last,39760.933333333
simulationTest-707-20260110-11:35:07-84923,2,24,7,System.oracle,throughputStat:last,39754.766666667
simulationTest-708-20260110-11:35:07-84924,2,24,8,System.oracle,throughputStat:last,39761.633333333
simulationTest-709-20260110-11:35:08-84925,2,24,9,System.oracle,throughputStat:last,39758.566666667
simulationTest-710-20260110-11:35:09-84926,2,24,10,System.oracle,throughputStat:last,39761.7
simulationTest-711-20260110-11:35:09-84927,2,24,11,System.oracle,throughputStat:last,39761.3
simulationTest-712-20260110-11:35:10-84928,2,24,12,System.oracle,throughputStat:last,39757.266666667
simulationTest-713-20260110-11:35:11-84929,2,24,13,System.oracle,throughputStat:last,39755.9
simulationTest-714-20260110-11:35:11-84930,2,24,14,System.oracle,throughputStat:last,39761.733333333
simulationTest-715-20260110-11:35:12-84931,2,24,15,System.oracle,throughputStat:last,39758.733333333
simulationTest-716-20260110-11:35:12-84932,2,24,16,System.oracle,throughputStat:last,39762.333333333
simulationTest-717-20260110-11:35:13-84933,2,24,17,System.oracle,throughputStat:last,39765.233333333
simulationTest-718-20260110-11:35:14-84934,2,24,18,System.oracle,throughputStat:last,39762.6
simulationTest-719-20260110-11:35:14-84935,2,24,19,System.oracle,throughputStat:last,39758.933333333
