run,K,N,repetition,module,name,value
simulationTest-288-20260110-11:32:03-84449,50,12,8,System.oracle,AvgQLStat:mean,37.955511288181
simulationTest-289-20260110-11:32:04-84450,50,12,9,System.oracle,AvgQLStat:mean,35.434926958831
simulationTest-290-20260110-11:32:04-84451,50,12,10,System.oracle,AvgQLStat:mean,34.293160690571
simulationTest-291-20260110-11:32:05-84452,50,12,11,System.oracle,AvgQLStat:mean,35.271912350598
simulationTest-292-20260110-11:32:05-84453,50,12,12,System.oracle,AvgQLStat:mean,34.496347941567
simulationTest-293-20260110-11:32:05-84454,50,12,13,System.oracle,AvgQLStat:mean,36.783532536521
simulationTest-294-20260110-11:32:06-84455,50,12,14,System.oracle,AvgQLStat:mean,35.246347941567
simulationTest-295-20260110-11:32:06-84457,50,12,15,System.oracle,AvgQLStat:mean,35.389110225764
simulationTest-296-20260110-11:32:07-84458,50,12,16,System.oracle,AvgQLStat:mean,37.059428950863
simulationTest-297-20260110-11:32:07-84459,50,12,17,System.oracle,AvgQLStat:mean,35.007636122178
simulationTest-298-20260110-11:32:08-84460,50,12,18,System.oracle,AvgQLStat:mean,37.327025232404
simulationTest-299-20260110-11:32:08-84461,50,12,19,System.oracle,AvgQLStat:mean,34.720451527224
simulationTest-300-20260110-11:32:08-84462,50,12,20,System.oracle,AvgQLStat:mean,37.545484727756
simulationTest-301-20260110-11:32:09-84463,50,12,21,System.oracle,AvgQLStat:mean,35.674634794157
simulationTest-302-20260110-11:32:09-84464,50,12,22,System.oracle,AvgQLStat:mean,36.549800796813
simulationTest-303-20260110-11:32:10-84465,50,12,23,System.oracle,AvgQLStat:mean,33.862549800797
simulationTest-304-20260110-11:32:10-84466,50,12,24,System.oracle,AvgQLStat:mean,37.268924302789
simulationTest-305-20260110-11:32:10-84467,50,12,25,System.oracle,AvgQLStat:mean,35.130478087649
simulationTest-306-20260110-11:32:11-84468,50,12,26,System.oracle,AvgQLStat:mean,34.769920318725
simulationTest-307-20260110-11:32:11-84469,50,12,27,System.oracle,AvgQLStat:mean,33.000332005312
simulationTest-308-20260110-11:32:12-84470,50,12,28,System.oracle,AvgQLStat:mean,35.658698539177
