run,K,N,repetition,module,name,value
simulationTest-70-20260110-11:30:51-84219,20,8,0,System.oracle,throughputStat:last,207060.6
simulationTest-71-20260110-11:30:51-84220,20,8,1,System.oracle,throughputStat:last,208388.46666667
simulationTest-72-20260110-11:30:51-84221,20,8,2,System.oracle,throughputStat:last,207940.9
simulationTest-73-20260110-11:30:52-84222,20,8,3,System.oracle,throughputStat:last,207416.56666667
simulationTest-74-20260110-11:30:52-84223,20,8,4,System.oracle,throughputStat:last,207832.16666667
simulationTest-75-20260110-11:30:52-84224,20,8,5,System.oracle,throughputStat:last,208070.43333333
simulationTest-76-20260110-11:30:52-84225,20,8,6,System.oracle,throughputStat:last,207946.33333333
simulationTest-77-20260110-11:30:52-84226,20,8,7,System.oracle,throughputStat:last,207524.8
simulationTest-78-20260110-11:30:53-84227,20,8,8,System.oracle,throughputStat:last,206482.3
simulationTest-79-20260110-11:30:53-84228,20,8,9,System.oracle,throughputStat:last,206752.1
simulationTest-80-20260110-11:30:53-84229,20,8,10,System.oracle,throughputStat:last,209455.66666667
simulationTest-81-20260110-11:30:53-84230,20,8,11,System.oracle,throughputStat:last,207535.6
simulationTest-82-20260110-11:30:54-84231,20,8,12,System.oracle,throughputStat:last,207555.06666667
simulationTest-83-20260110-11:30:54-84232,20,8,13,System.oracle,throughputStat:last,208745.03333333
simulationTest-84-20260110-11:30:54-84233,20,8,14,System.oracle,throughputStat:last,207433.43333333
simulationTest-85-20260110-11:30:54-84234,20,8,15,System.oracle,throughputStat:last,208016.2
simulationTest-86-20260110-11:30:54-84235,20,8,16,System.oracle,throughputStat:last,207602.76666667
simulationTest-87-20260110-11:30:55-84236,20,8,17,System.oracle,throughputStat:last,208350.1
simulationTest-88-20260110-11:30:55-84237,20,8,18,System.oracle,throughputStat:last,207515.06666667
simulationTest-89-20260110-11:30:55-84238,20,8,19,System.oracle,throughputStat:last,207076.8
