run,K,N,repetition,module,name,value
simulationTest-525-20260110-11:33:43-84717,2,20,0,System.oracle,throughputStat:last,39756.433333333
simulationTest-526-20260110-11:33:43-84718,2,20,1,System.oracle,throughputStat:last,39755.366666667
simulationTest-527-20260110-11:33:44-84719,2,20,2,System.oracle,throughputStat:last,39754.633333333
simulationTest-528-20260110-11:33:44-84720,2,20,3,System.oracle,throughputStat:last,39751.833333333
simulationTest-529-20260110-11:33:44-84721,2,20,4,System.oracle,throughputStat:last,39753.266666667
simulationTest-530-20260110-11:33:45-84723,2,20,5,System.oracle,throughputStat:last,39755.3
simulationTest-531-20260110-11:33:45-84724,2,20,6,System.oracle,throughputStat:last,39752.2
simulationTest-532-20260110-11:33:46-84725,2,20,7,System.oracle,throughputStat:last,39755.7
simulationTest-533-20260110-11:33:46-84726,2,20,8,System.oracle,throughputStat:last,39745.7
simulationTest-534-20260110-11:33:46-84728,2,20,9,System.oracle,throughputStat:last,39748.766666667
simulationTest-535-20260110-11:33:47-84729,2,20,10,System.oracle,throughputStat:last,39755.966666667
simulationTest-536-20260110-11:33:47-84730,2,20,11,System.oracle,throughputStat:last,39755.5
simulationTest-537-20260110-11:33:48-84731,2,20,12,System.oracle,throughputStat:last,39751.466666667
simulationTest-538-20260110-11:33:48-84732,2,20,13,System.oracle,throughputStat:last,39755.5
simulationTest-539-20260110-11:33:49-84733,2,20,14,System.oracle,throughputStat:last,39756.933333333
simulationTest-540-20260110-11:33:49-84734,2,20,15,System.oracle,throughputStat:last,39751.766666667
simulationTest-541-20260110-11:33:50-84735,2,20,16,System.oracle,throughputStat:last,39753.566666667
simulationTest-542-20260110-11:33:50-84736,2,20,17,System.oracle,throughputStat:last,39748.433333333
simulationTest-543-20260110-11:33:51-84737,2,20,18,System.oracle,throughputStat:last,39748.466666667
simulationTest-544-20260110-11:33:51-84738,2,20,19,System.oracle,throughputStat:last,39746.866666667
