run,K,N,repetition,module,name,value
simulationTest-560-20260110-11:33:58-84754,5,20,0,System.oracle,AvgQLStat:mean,952.28007968127
simulationTest-561-20260110-11:33:58-84755,5,20,1,System.oracle,AvgQLStat:mean,766.71394422311
simulationTest-562-20260110-11:33:59-84756,5,20,2,System.oracle,AvgQLStat:mean,787.9406374502
simulationTest-563-20260110-11:33:59-84757,5,20,3,System.oracle,AvgQLStat:mean,792.13605577689
simulationTest-564-20260110-11:33:59-84758,5,20,4,System.oracle,AvgQLStat:mean,779.41892430279
simulationTest-565-20260110-11:34:00-84762,5,20,5,System.oracle,AvgQLStat:mean,910.03147410359
simulationTest-566-20260110-11:34:00-84765,5,20,6,System.oracle,AvgQLStat:mean,783.08884462151
simulationTest-567-20260110-11:34:01-84766,5,20,7,System.oracle,AvgQLStat:mean,754.15298804781
simulationTest-568-20260110-11:34:01-84767,5,20,8,System.oracle,AvgQLStat:mean,792.66553784861
simulationTest-569-20260110-11:34:02-84768,5,20,9,System.oracle,AvgQLStat:mean,809.73844621514
simulationTest-570-20260110-11:34:02-84769,5,20,10,System.oracle,AvgQLStat:mean,754.23764940239
simulationTest-571-20260110-11:34:03-84770,5,20,11,System.oracle,AvgQLStat:mean,798.13227091633
simulationTest-572-20260110-11:34:03-84771,5,20,12,System.oracle,AvgQLStat:mean,910.01055776892
simulationTest-573-20260110-11:34:04-84772,5,20,13,System.oracle,AvgQLStat:mean,791.05079681275
simulationTest-574-20260110-11:34:04-84773,5,20,14,System.oracle,AvgQLStat:mean,820.74820717131
simulationTest-575-20260110-11:34:04-84774,5,20,15,System.oracle,AvgQLStat:mean,928.97888446215
simulationTest-576-20260110-11:34:05-84775,5,20,16,System.oracle,AvgQLStat:mean,914.53725099602
simulationTest-577-20260110-11:34:06-84777,5,20,17,System.oracle,AvgQLStat:mean,865.12430278884
simulationTest-578-20260110-11:34:06-84778,5,20,18,System.oracle,AvgQLStat:mean,866.45557768924
simulationTest-579-20260110-11:34:06-84779,5,20,19,System.oracle,AvgQLStat:mean,820.56832669323
