run,K,N,repetition,module,name,value
simulationTest-245-20260110-11:31:45-84401,20,12,0,System.oracle,AvgQLStat:mean,47.243027888446
simulationTest-246-20260110-11:31:46-84402,20,12,1,System.oracle,AvgQLStat:mean,47.522908366534
simulationTest-247-20260110-11:31:46-84403,20,12,2,System.oracle,AvgQLStat:mean,46.410358565737
simulationTest-248-20260110-11:31:46-84404,20,12,3,System.oracle,AvgQLStat:mean,49.258300132802
simulationTest-249-20260110-11:31:47-84406,20,12,4,System.oracle,AvgQLStat:mean,48.633466135458
simulationTest-250-20260110-11:31:47-84407,20,12,5,System.oracle,AvgQLStat:mean,45.311752988048
simulationTest-251-20260110-11:31:48-84408,20,12,6,System.oracle,AvgQLStat:mean,47.997675962815
simulationTest-252-20260110-11:31:48-84409,20,12,7,System.oracle,AvgQLStat:mean,45.388778220452
simulationTest-253-20260110-11:31:49-84410,20,12,8,System.oracle,AvgQLStat:mean,47.746679946879
simulationTest-254-20260110-11:31:49-84411,20,12,9,System.oracle,AvgQLStat:mean,49.161022576361
simulationTest-255-20260110-11:31:49-84413,20,12,10,System.oracle,AvgQLStat:mean,46.852589641434
simulationTest-256-20260110-11:31:50-84414,20,12,11,System.oracle,AvgQLStat:mean,46.000332005312
simulationTest-257-20260110-11:31:50-84415,20,12,12,System.oracle,AvgQLStat:mean,48.71812749004
simulationTest-258-20260110-11:31:51-84416,20,12,13,System.oracle,AvgQLStat:mean,46.946547144754
simulationTest-259-20260110-11:31:51-84417,20,12,14,System.oracle,AvgQLStat:mean,47.071381142098
simulationTest-260-20260110-11:31:51-84419,20,12,15,System.oracle,AvgQLStat:mean,47.812416998672
simulationTest-261-20260110-11:31:52-84420,20,12,16,System.oracle,AvgQLStat:mean,44.873505976096
simulationTest-262-20260110-11:31:52-84421,20,12,17,System.oracle,AvgQLStat:mean,48.820385126162
simulationTest-263-20260110-11:31:53-84422,20,12,18,System.oracle,AvgQLStat:mean,48.196215139442
simulationTest-264-20260110-11:31:53-84423,20,12,19,System.oracle,AvgQLStat:mean,48.281208499336
