run,K,N,repetition,module,name,value
simulationTest-350-20260110-11:32:29-84519,2,16,0,System.oracle,AvgQLStat:mean,8954.1274900398
simulationTest-351-20260110-11:32:30-84520,2,16,1,System.oracle,AvgQLStat:mean,8930.4671314741
simulationTest-352-20260110-11:32:30-84521,2,16,2,System.oracle,AvgQLStat:mean,8942.3921812749
simulationTest-353-20260110-11:32:31-84522,2,16,3,System.oracle,AvgQLStat:mean,8946.7527390438
simulationTest-354-20260110-11:32:31-84526,2,16,4,System.oracle,AvgQLStat:mean,8914.6419322709
simulationTest-355-20260110-11:32:32-84527,2,16,5,System.oracle,AvgQLStat:mean,8965.7298306773
simulationTest-356-20260110-11:32:32-84528,2,16,6,System.oracle,AvgQLStat:mean,8937.7719123506
simulationTest-357-20260110-11:32:33-84529,2,16,7,System.oracle,AvgQLStat:mean,8933.7089143426
simulationTest-358-20260110-11:32:33-84530,2,16,8,System.oracle,AvgQLStat:mean,8947.2375498008
simulationTest-359-20260110-11:32:34-84531,2,16,9,System.oracle,AvgQLStat:mean,8962.1456673307
simulationTest-360-20260110-11:32:34-84532,2,16,10,System.oracle,AvgQLStat:mean,8956.2626992032
simulationTest-361-20260110-11:32:34-84533,2,16,11,System.oracle,AvgQLStat:mean,8906.6810258964
simulationTest-362-20260110-11:32:35-84534,2,16,12,System.oracle,AvgQLStat:mean,8921.437250996
simulationTest-363-20260110-11:32:35-84535,2,16,13,System.oracle,AvgQLStat:mean,8943.9965139442
simulationTest-364-20260110-11:32:36-84536,2,16,14,System.oracle,AvgQLStat:mean,8958.7407868526
simulationTest-365-20260110-11:32:36-84537,2,16,15,System.oracle,AvgQLStat:mean,8976.5881474104
simulationTest-366-20260110-11:32:36-84538,2,16,16,System.oracle,AvgQLStat:mean,8974.2328187251
simulationTest-367-20260110-11:32:37-84539,2,16,17,System.oracle,AvgQLStat:mean,8962.9803286853
simulationTest-368-20260110-11:32:37-84540,2,16,18,System.oracle,AvgQLStat:mean,8929.7833665339
simulationTest-369-20260110-11:32:38-84541,2,16,19,System.oracle,AvgQLStat:mean,8952.2953187251
