run,T,repetition,module,name,value
queueLengthContinuityTest-125-20260130-16:06:52-91918,0.013s,20,System.oracle,AvgQLStat:mean,694.91466666667
queueLengthContinuityTest-126-20260130-16:06:52-91919,0.013s,21,System.oracle,AvgQLStat:mean,695.41022222222
queueLengthContinuityTest-127-20260130-16:06:52-91920,0.013s,22,System.oracle,AvgQLStat:mean,691.41222222222
queueLengthContinuityTest-128-20260130-16:06:53-91921,0.013s,23,System.oracle,AvgQLStat:mean,692.012
queueLengthContinuityTest-129-20260130-16:06:53-91922,0.013s,24,System.oracle,AvgQLStat:mean,695.69777777778
queueLengthContinuityTest-130-20260130-16:06:53-91923,0.013s,25,System.oracle,AvgQLStat:mean,695.54888888889
queueLengthContinuityTest-131-20260130-16:06:53-91924,0.013s,26,System.oracle,AvgQLStat:mean,698.23666666667
queueLengthContinuityTest-132-20260130-16:06:53-91925,0.013s,27,System.oracle,AvgQLStat:mean,698.72377777778
queueLengthContinuityTest-133-20260130-16:06:54-91926,0.013s,28,System.oracle,AvgQLStat:mean,688.11822222222
queueLengthContinuityTest-134-20260130-16:06:54-91927,0.013s,29,System.oracle,AvgQLStat:mean,692.89577777778
queueLengthContinuityTest-135-20260130-16:06:54-91928,0.013s,30,System.oracle,AvgQLStat:mean,687.58177777778
queueLengthContinuityTest-136-20260130-16:06:54-91929,0.013s,31,System.oracle,AvgQLStat:mean,698.98066666667
queueLengthContinuityTest-137-20260130-16:06:54-91930,0.013s,32,System.oracle,AvgQLStat:mean,700.896
queueLengthContinuityTest-138-20260130-16:06:55-91931,0.013s,33,System.oracle,AvgQLStat:mean,696.17266666667
queueLengthContinuityTest-139-20260130-16:06:55-91932,0.013s,34,System.oracle,AvgQLStat:mean,701.33577777778
queueLengthContinuityTest-70-20260130-16:06:41-91856,0.014s,0,System.oracle,AvgQLStat:mean,635.50777777778
queueLengthContinuityTest-71-20260130-16:06:41-91857,0.014s,1,System.oracle,AvgQLStat:mean,637.46777777778
queueLengthContinuityTest-72-20260130-16:06:41-91859,0.014s,2,System.oracle,AvgQLStat:mean,632.02444444444
queueLengthContinuityTest-73-20260130-16:06:41-91860,0.014s,3,System.oracle,AvgQLStat:mean,636.80755555556
queueLengthContinuityTest-74-20260130-16:06:41-91861,0.014s,4,System.oracle,AvgQLStat:mean,647.04444444444
queueLengthContinuityTest-75-20260130-16:06:42-91862,0.014s,5,System.oracle,AvgQLStat:mean,648.93177777778
queueLengthContinuityTest-76-20260130-16:06:42-91863,0.014s,6,System.oracle,AvgQLStat:mean,631.90466666667
queueLengthContinuityTest-77-20260130-16:06:42-91864,0.014s,7,System.oracle,AvgQLStat:mean,639.64177777778
queueLengthContinuityTest-78-20260130-16:06:42-91865,0.014s,8,System.oracle,AvgQLStat:mean,645.34266666667
queueLengthContinuityTest-79-20260130-16:06:42-91866,0.014s,9,System.oracle,AvgQLStat:mean,637.82533333333
queueLengthContinuityTest-80-20260130-16:06:43-91867,0.014s,10,System.oracle,AvgQLStat:mean,636.55355555556
queueLengthContinuityTest-81-20260130-16:06:43-91868,0.014s,11,System.oracle,AvgQLStat:mean,643.12977777778
queueLengthContinuityTest-82-20260130-16:06:43-91869,0.014s,12,System.oracle,AvgQLStat:mean,639.57155555556
queueLengthContinuityTest-83-20260130-16:06:43-91870,0.014s,13,System.oracle,AvgQLStat:mean,645.40577777778
queueLengthContinuityTest-84-20260130-16:06:43-91871,0.014s,14,System.oracle,AvgQLStat:mean,644.57088888889
queueLengthContinuityTest-85-20260130-16:06:44-91872,0.014s,15,System.oracle,AvgQLStat:mean,630.416
queueLengthContinuityTest-86-20260130-16:06:44-91873,0.014s,16,System.oracle,AvgQLStat:mean,645.00511111111
